event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2016,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2017,Norrk?ping,male,2023-05-04 00:20:54,P3
DataViewDestroyed,DataView_2146406573,AverageEducation-Municipality,AverageEducation,[],,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405536,AverageAge-Municipality,AverageAge,"[Municipality, Year]",,,,2023-05-04 00:21:36,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:21:36,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146405535,,,,,,,2023-05-04 00:21:36,P3
DataViewDestroyed,DataView_2146406557,AverageEducation-MapFilter-Info,AverageEducation,[],,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405520,AverageAge-MapFilter-Info,AverageAge,[Year],,,,2023-05-04 00:21:36,P3
DataViewDestroyed,DataView_2146406556,AverageEducation-MapFilter-Info,AverageEducation,[],,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405519,AverageAge-MapFilter-Info,AverageAge,[Year],,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405518,AverageAge-MapFilter-Info,AverageAge,[Year],,,,2023-05-04 00:21:36,P3
DataViewDestroyed,DataView_2146406554,AverageEducation-MapFilter-Info,AverageEducation,[],,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405517,AverageAge-MapFilter-Info,AverageAge,[Year],,,,2023-05-04 00:21:36,P3
ActiveMapFiltersChanged,AgeMapFilters,,,,,,,2023-05-04 00:21:36,P3
DataViewDestroyed,DataView_2146405519,AverageAge-MapFilter-Info,AverageAge,[],,,,2023-05-04 00:21:36,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:21:36,P3
ButtonClicked,AgeButton,,,,,,,2023-05-04 00:21:36,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146405533,,,,2017,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405487,Age-Main,Age,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405486,Age-Education-Side,Education,"[Education, Year]",,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405485,Age-Income-Side,Income,"[Income, Year]",,,,2023-05-04 00:21:36,P3
DataViewCreated,DataView_2146405484,AverageAge-Nation,AverageAge,[Year],,,,2023-05-04 00:21:36,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:21:36,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146406164,,,,,,,2023-05-04 00:21:40,P3
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146406162,,,,,,,2023-05-04 00:21:40,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146406009,,,,,,,2023-05-04 00:21:41,P3
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146406007,,,,,,,2023-05-04 00:21:41,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146406323,,,,,,,2023-05-04 00:21:42,P3
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146406321,,,,,,,2023-05-04 00:21:42,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146405854,,,,,,,2023-05-04 00:21:44,P3
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146405852,,,,,,,2023-05-04 00:21:44,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146405280,,,,,,,2023-05-04 00:21:53,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146405278,,,,2017,,,2023-05-04 00:21:53,P3
DataViewCreated,DataView_2146405236,Age-Main,Age,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:21:53,P3
DataViewCreated,DataView_2146405235,Age-Education-Side,Education,"[Education, Year]",,,,2023-05-04 00:21:53,P3
DataViewCreated,DataView_2146405234,Age-Income-Side,Income,"[Income, Year]",,,,2023-05-04 00:21:53,P3
